,V_Co3O(OH),V_Co3O,V_Co4O4,V_Ce,V_Dy,V_Yb,V_OA,V_SA,V_TMTACN,V_MeOH,AMF,AMF_rt,AMF_50,AMF_ST
CCE_4_17,0.00,0.78,1.54,0.00,0.00,0.83,0.00,0.00,1.77,2.58,0.40,0.20,0.54,0.51
CCE_4_18,0.00,0.00,2.71,0.00,0.00,0.00,0.00,1.76,0.00,3.03,0.24,0.44,0.00,0.50
CCE_4_19,0.20,0.00,2.75,0.00,0.00,0.00,0.00,1.40,0.00,3.14,0.22,0.20,0.22,0.50
CCE_4_20,2.10,0.03,2.19,0.70,0.00,0.00,0.00,0.00,1.53,0.95,0.40,0.44,0.25,0.54
CCE_4_21,0.18,0.00,2.35,0.44,0.00,0.00,0.00,1.79,0.00,2.74,0.28,0.28,0.22,0.50
CCE_4_22,0.55,0.55,2.03,0.00,0.00,0.99,0.00,0.00,0.00,3.38,0.21,0.21,0.22,0.50
CCE_4_23,0.99,0.02,3.25,0.00,0.00,0.00,0.00,0.56,0.00,2.68,0.28,0.28,0.27,0.50
CCE_4_24,0.93,0.64,2.42,0.00,0.00,0.00,0.00,0.00,0.79,2.72,0.23,0.23,0.23,0.50
CCE_4_25,0.42,0.00,3.61,0.00,0.00,0.00,2.84,0.00,0.00,0.63,0.13,0.04,0.23,0.50
CCE_4_26,0.87,0.11,2.82,0.00,0.00,0.00,0.96,0.00,0.00,2.75,0.23,0.21,0.27,0.50
CCE_4_27,0.33,1.91,2.71,0.00,0.00,0.00,0.00,0.00,1.37,1.18,0.25,0.20,0.29,0.51
CCE_4_28,0.05,0.27,3.09,0.00,0.00,1.60,1.60,0.00,0.00,0.88,0.37,0.40,0.30,0.50
CCE_4_29,1.17,0.04,2.22,0.00,0.00,0.00,0.00,0.67,0.00,3.40,0.25,0.29,0.21,0.50
CCE_4_30,0.00,1.27,2.33,1.31,0.00,0.00,0.00,1.68,0.00,0.91,0.26,0.23,0.28,0.50
CCE_4_31,0.38,3.54,0.43,0.00,0.00,0.00,0.00,0.00,2.69,0.45,0.58,0.38,0.61,0.50
CCE_4_32,0.32,2.10,2.78,0.00,0.00,0.00,0.00,1.64,0.00,0.66,0.31,0.29,0.26,0.50
CCE_4_33,0.54,0.00,4.18,0.00,0.00,0.00,0.00,0.00,1.85,0.93,0.22,0.16,0.26,0.50
CCE_4_34,0.00,0.00,0.78,0.00,0.00,0.00,4.39,0.00,0.00,2.33,0.20,0.21,0.22,0.50
CCE_4_35,1.21,0.00,3.02,0.00,0.00,0.00,0.00,0.97,0.00,2.31,0.01,0.01,0.13,0.27
CCE_4_36,0.01,0.75,3.45,0.00,0.00,0.00,1.17,0.00,0.00,2.12,0.19,0.18,0.29,0.30
CCE_4_37,0.54,0.00,1.48,0.00,0.00,0.00,0.00,0.00,2.41,3.07,0.53,0.33,0.58,0.58
CCE_4_38,1.86,0.00,1.44,0.00,0.00,0.00,0.00,0.00,1.35,2.85,0.22,0.24,0.19,0.50
CCE_4_39,0.48,0.51,5.45,0.00,0.00,0.00,0.00,0.00,0.38,0.68,0.31,0.23,0.33,0.50
CCE_4_40,0.63,0.73,0.73,0.00,0.00,1.54,0.00,0.00,0.00,3.87,0.23,0.19,0.27,0.50
CCE_4_41,1.52,0.00,4.24,0.00,0.00,0.00,0.00,0.00,1.42,0.32,0.40,0.35,0.32,0.52
CCE_4_42,0.13,1.95,1.06,0.00,0.00,0.67,1.13,0.00,0.00,2.56,0.24,0.20,0.28,0.50
CCE_4_43,0.25,0.03,0.50,0.00,0.00,0.00,0.00,0.00,4.40,2.33,0.51,0.50,0.46,0.54
CCE_4_44,1.61,0.79,0.81,0.00,0.00,0.00,0.00,0.00,1.97,2.32,0.30,0.28,0.32,0.50
CCE_4_45,1.19,1.50,1.97,0.00,0.00,0.00,0.00,1.40,0.00,1.43,0.16,0.10,0.24,0.50
CCE_4_46,0.26,0.00,4.45,0.00,0.00,0.00,0.00,0.00,1.65,1.14,0.22,0.13,0.32,0.50
CCE_4_47,0.06,0.00,2.29,0.00,0.00,0.28,0.00,0.00,1.12,3.75,0.29,0.21,0.37,0.51
