,CCE1_%Diff,CCE1_Unique,CCE1_Score,CCE2_%Diff,CCE2_Unique,CCE2_Score,CCE3_%Diff,CCE3_Unique,CCE3_Score,CCE4_%Diff,CCE4_Unique,CCE4_Score
106,,,,,,,0.522683,0.002275,0.262479,0.542467104,0.001822758,0.272144931
107,,,,,,,0.358505,0.051191,0.204848,0.392526421,0.038277911,0.215402166
108,,,,,,,0.336668,0.003303,0.169985,0.372583553,0.002392369,0.187487961
109,,,,,,,0.344074,0,0.172037,0.379346809,0,0.189673405
110,,,,,,,0.258886,0,0.129443,0.301546872,0,0.150773436
111,,,,,,,0.670953,0.212615,0.441784,0.677878857,0.140808028,0.409343443
112,,,,,,,0.568033,0,0.284016,0.583883939,0,0.291941969
113,,,,,,,0.297851,0.051191,0.174521,0.337132507,0.038277911,0.187705209
114,,,,,,,0.319604,0.005578,0.162591,0.356999407,0.004215127,0.180607267
115,,,,,,,0.289927,0,0.144964,0.329896022,0,0.164948011
116,,,,,,,0.481203,0.005578,0.24339,0.504584119,0.004215127,0.254399623
117,,,,,,,0.435876,0.005578,0.220727,0.463187591,0.004215127,0.233701359
118,,,,,,,0.499668,0.044365,0.272017,0.521448069,0.044657562,0.283052816
119,,,,,,,0.490783,0.007853,0.249318,0.513333117,0.006037885,0.259685501
120,,,,,,,0.533728,0.187105,0.360416,0.552553615,0.081072568,0.316813091
121,,,,,,,0.363593,0.110234,0.236914,0.397173596,0.030280561,0.213727079
122,,,,,,,0.279217,0.138254,0.208736,0.320114684,0.091285278,0.205699981
123,,,,,,,0.350279,0.027135,0.188707,0.385014004,0.017614799,0.201314401
124,,,,,,,0.310962,0.003303,0.157132,0.349106537,0.002392369,0.175749453
125,,,,,,,0.301841,0,0.15092,0.340776284,0,0.170388142
126,,,,,,,0.238427,0.051191,0.144809,0.282861548,0.038277911,0.160569729
127,,,,,,,0.36779,0.112659,0.240224,0.401006262,0.072146322,0.236576292
128,,,,,,,0.292965,0.073263,0.183114,0.332669951,0.066188887,0.199429419
129,,,,,,,0.382892,0.015816,0.199354,0.41479842,0.010594779,0.212696599
130,,,,,,,0.297343,0,0.148671,0.336668287,0,0.168334144
131,,,,,,,0.363358,0.00455,0.183954,0.396958986,0.003645515,0.200302251
132,,,,,,,0.472344,0.005578,0.238961,0.496492898,0.004480255,0.250486577
133,,,,,,,0.422578,0.18121,0.301894,0.451043395,0.061948112,0.256495753
134,,,,,,,0.343836,0.002275,0.173056,0.379129616,0.002087886,0.190608751
135,,,,,,,0.402746,0.004952,0.203849,0.432931045,0.003933123,0.218432084
136,,,,,,,0.180082,0.087064,0.133573,0.229576411,0.086868596,0.158222503
137,,,,,,,0.286577,0,0.143288,0.326835946,0,0.163417973
138,,,,,,,0.260461,0.076554,0.168508,0.302985214,0.045506009,0.174245612
139,,,,,,,0.346546,0.002275,0.174411,0.381604665,0.001822758,0.191713711
140,,,,,,,0.297796,0.002275,0.150035,0.33708191,0.001822758,0.169452334
141,,,,,,,0.426953,0.051191,0.239072,0.45503861,0.038277911,0.24665826
142,,,,,,,0.328361,0,0.16418,0.36499638,0,0.18249819
143,,,,,,,0.355809,0,0.177905,0.390064414,0,0.195032207
144,,,,,,,,,,0.728108091,0.133152446,0.430630269
145,,,,,,,,,,0.359337375,0.297697262,0.328517318
146,,,,,,,,,,0.526737386,0.215610236,0.371173811
147,,,,,,,,,,0.547957556,0.163175368,0.355566462
148,,,,,,,,,,0.803036106,0.048192445,0.425614276
149,,,,,,,,,,0.825124882,0,0.412562441
150,,,,,,,,,,0.219076595,0.030565216,0.124820905
151,,,,,,,,,,0.800206966,0.070489851,0.435348409
152,,,,,,,,,,0.816659811,0.09000408,0.453331946
153,,,,,,,,,,0.473232155,0.056989382,0.265110769
154,,,,,,,,,,0.380911891,0.076555821,0.228733856
155,,,,,,,,,,0.102737877,0,0.051368939
156,,,,,,,,,,0.600680293,0.056528272,0.328604283
157,,,,,,,,,,0.457206733,0.537536652,0.497371692
158,,,,,,,,,,0.245469779,0.012759304,0.129114541
159,,,,,,,,,,0.040392699,0,0.02019635
160,,,,,,,,,,0.511275832,0.203328616,0.357302224
161,,,,,,,,,,0.34059471,0.054705514,0.197650112
162,,,,,,,,,,0.628679244,0.255823548,0.442251396
163,,,,,,,,,,0.281724547,0.121850861,0.201787704
164,,,,,,,,,,0.618233387,0.264892256,0.441562821
165,,,,,,,,,,0.363838759,0.204629795,0.284234277
166,,,,,,,,,,0.398392985,0.030280561,0.214336773
167,,,,,,,,,,0.521548909,0.039390207,0.280469558
168,,,,,,,,,,0.415822398,0.051885661,0.23385403
169,,,,,,,,,,0.021343028,0.056973998,0.039158513
170,,,,,,,,,,0.417626389,0.008202409,0.212914399
171,,,,,,,,,,0.409633253,0,0.204816626
172,,,,,,,,,,0.66244353,0.146996814,0.404720172
173,,,,,,,,,,0.548811743,0.024010689,0.286411216
174,,,,,,,,,,0.419121744,0.043039865,0.231080805
175,,,,,,,,,,0.48438468,0.270388734,0.377386707
176,,,,,,,,,,0.289153647,0.286725687,0.287939667
177,,,,,,,,,,0.197956637,0.122130184,0.16004341
178,,,,,,,,,,0.42364248,0,0.21182124
179,,,,,,,,,,0,0.015379518,0.007689759
180,,,,,,,,,,0.307791341,0.056973998,0.18238267
181,,,,,,,,,,0.588704859,0.061295647,0.325000253
182,,,,,,,,,,0.429666446,0.059860226,0.244763336
183,,,,,,,,,,0.205286755,0.244731742,0.225009249
184,,,,,,,,,,0.36900999,0.019403778,0.194206884
185,,,,,,,,,,0.28185981,0.415753657,0.348806734
186,,,,,,,,,,0.381312309,0.017521258,0.199416783
187,,,,,,,,,,1,0,0.5
188,,,,,,,,,,0.506286436,0.059860226,0.283073331
189,,,,,,,,,,0.181619516,0.012759304,0.09718941
190,,,,,,,,,,0.251094976,0,0.125547488
191,,,,,,,,,,0.420342563,0,0.210171282
