,Co3O(OH),Co3O,Co3O Degradation,Co4O4,Average % Diff,% Diff Scaled,Uniqueness,Uniqueness Scaled,Score
101,100.0,100.0,100.0,100.0,100.0,1.0,0.06769456106906689,0.010500937541159903,0.50525046877058
87,100.0,100.0,100.0,100.0,100.0,1.0,0.06154985377769061,0.009547756274357406,0.5047738781371787
28,100.0,100.0,100.0,100.0,100.0,1.0,0.057972338846844676,0.008992803849109367,0.5044964019245547
40,100.0,100.0,100.0,100.0,100.0,1.0,0.057972338846844676,0.008992803849109367,0.5044964019245547
80,100.0,100.0,100.0,100.0,100.0,1.0,0.04606757694208277,0.007146109532312791,0.5035730547661564
57,100.0,100.0,100.0,100.0,100.0,1.0,0.04606757694208277,0.007146109532312791,0.5035730547661564
188,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
176,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
169,100.0,0.0,0.0,100.0,100.0,1.0,0.0,0.0,0.5
170,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
172,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
173,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
174,0.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
175,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
177,100.0,0.0,0.0,100.0,100.0,1.0,0.0,0.0,0.5
186,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
178,0.0,0.0,0.0,100.0,100.0,1.0,0.0,0.0,0.5
166,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
182,100.0,0.0,0.0,100.0,100.0,1.0,0.0,0.0,0.5
190,100.0,0.0,0.0,100.0,100.0,1.0,0.0,0.0,0.5
183,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
184,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
189,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
168,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
167,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
162,0.0,0.0,0.0,100.0,100.0,1.0,0.0,0.0,0.5
79,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
145,0.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
163,100.0,0.0,0.0,100.0,100.0,1.0,0.0,0.0,0.5
146,0.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
147,0.0,0.0,0.0,100.0,100.0,1.0,0.0,0.0,0.5
160,100.0,0.0,0.0,100.0,100.0,1.0,0.0,0.0,0.5
159,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
158,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
157,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
156,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
155,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
165,100.0,0.0,0.0,100.0,100.0,1.0,0.0,0.0,0.5
150,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
154,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
90,92.44640202540549,100.0,100.0,100.0,97.4821340084685,0.9051407108893765,0.23224657508916602,0.03602662814626109,0.4705836695178188
104,100.0,100.0,78.16887381805302,100.0,96.3614789696755,0.8629206163030547,0.0,0.0,0.43146030815152736
83,100.0,100.0,76.16929334011185,100.0,96.02821555668531,0.8503650908902026,0.0,0.0,0.4251825454451013
56,86.62908953011342,0.0,0.0,100.0,93.31454476505671,0.7481289579744957,0.2240498537776906,0.03475513369863066,0.3914420458365632
180,83.43625059024396,100.0,100.0,84.74830364172378,89.39485141065592,0.6004565534936143,0.0,0.0,0.30022827674680713
60,0.0,0.0,0.0,88.52752172338884,88.52752172338884,0.5677803595121187,0.0,0.0,0.28389017975605935
179,75.68459424103008,0.0,0.0,100.0,87.84229712051504,0.5419648796858146,0.0,0.0,0.2709824398429073
112,81.99119627576805,100.0,54.55398774627276,100.0,86.42273004963481,0.48848343006083184,0.0,0.0,0.24424171503041592
144,0.0,0.0,0.0,85.44697196261683,85.44697196261683,0.45172225262335913,0.0,0.0,0.22586112631167957
54,0.0,100.0,46.91366517420985,0.0,73.45683258710493,0.0,0.0,0.0,0.0
